item_id,order_id,category,unit_price,quantity,line_total
1,1,Electronics,762.75,3,2288.25
2,1,Sports & Outdoors,61.11,1,61.11
3,1,Home & Kitchen,187.32,1,187.32
4,2,Electronics,194.92,1,194.92
5,2,Apparel,144.85,1,144.85
6,3,Apparel,76.24,2,152.48
7,3,Books,21.35,2,42.7
8,3,Electronics,712.56,1,712.56
9,3,Apparel,80.06,1,80.06
10,4,Books,21.6,1,21.6
11,5,Grocery,30.46,3,91.38
12,5,Beauty,45.69,1,45.69
13,5,Sports & Outdoors,65.16,1,65.16
14,6,Apparel,147.8,1,147.8
15,6,Home & Kitchen,44.43,1,44.43
16,7,Apparel,14.29,2,28.58
17,8,Home & Kitchen,116.24,1,116.24
18,9,Toys & Games,119.61,3,358.83
19,10,Sports & Outdoors,110.53,1,110.53
20,10,Electronics,268.5,2,537.0
21,11,Sports & Outdoors,109.37,1,109.37
22,11,Home & Kitchen,147.62,2,295.24
23,11,Electronics,129.16,1,129.16
24,11,Apparel,32.34,1,32.34
25,12,Beauty,54.64,1,54.64
26,13,Books,24.14,1,24.14
27,14,Home & Kitchen,27.82,1,27.82
28,15,Sports & Outdoors,133.48,1,133.48
29,16,Home & Kitchen,297.3,1,297.3
30,16,Electronics,444.61,1,444.61
31,16,Beauty,64.84,1,64.84
32,16,Electronics,443.03,1,443.03
33,17,Electronics,886.04,2,1772.08
34,17,Sports & Outdoors,186.4,1,186.4
35,17,Electronics,127.52,1,127.52
36,17,Beauty,25.67,2,51.34
37,17,Home & Kitchen,213.22,1,213.22
38,18,Electronics,733.46,1,733.46
39,18,Electronics,658.39,1,658.39
40,19,Sports & Outdoors,222.62,1,222.62
41,20,Electronics,682.2,2,1364.4
42,20,Electronics,742.16,2,1484.32
43,21,Beauty,58.87,1,58.87
44,21,Beauty,78.25,1,78.25
45,21,Toys & Games,73.22,1,73.22
46,21,Toys & Games,84.34,1,84.34
47,22,Beauty,80.73,1,80.73
48,22,Apparel,143.5,1,143.5
49,22,Electronics,401.67,1,401.67
50,22,Beauty,31.94,3,95.82
51,22,Toys & Games,51.91,1,51.91
52,23,Apparel,44.48,1,44.48
53,24,Electronics,450.26,2,900.52
54,24,Beauty,46.87,1,46.87
55,24,Toys & Games,71.43,2,142.86
56,25,Apparel,90.03,2,180.06
57,26,Home & Kitchen,153.51,2,307.02
58,26,Apparel,25.36,1,25.36
59,26,Home & Kitchen,242.19,3,726.57
60,27,Grocery,43.9,1,43.9
61,27,Electronics,370.39,1,370.39
62,27,Sports & Outdoors,162.5,1,162.5
63,27,Home & Kitchen,222.37,1,222.37
64,27,Electronics,180.04,2,360.08
65,28,Toys & Games,73.62,1,73.62
66,28,Apparel,139.02,1,139.02
67,29,Sports & Outdoors,182.38,1,182.38
68,30,Toys & Games,77.1,1,77.1
69,31,Toys & Games,63.06,1,63.06
70,31,Home & Kitchen,239.94,1,239.94
71,32,Beauty,66.94,1,66.94
72,32,Electronics,737.11,1,737.11
73,33,Home & Kitchen,201.14,1,201.14
74,34,Books,9.18,1,9.18
75,34,Grocery,32.04,1,32.04
76,34,Toys & Games,17.78,1,17.78
77,35,Beauty,83.39,1,83.39
78,36,Apparel,52.15,1,52.15
79,36,Books,23.76,1,23.76
80,36,Sports & Outdoors,240.54,1,240.54
81,36,Grocery,25.96,2,51.92
82,36,Beauty,47.91,1,47.91
83,37,Apparel,141.12,1,141.12
84,37,Home & Kitchen,59.15,1,59.15
85,38,Home & Kitchen,112.01,2,224.02
86,38,Toys & Games,49.52,1,49.52
87,38,Home & Kitchen,277.86,1,277.86
88,38,Apparel,37.53,1,37.53
89,39,Home & Kitchen,94.4,1,94.4
90,40,Sports & Outdoors,221.17,3,663.51
91,41,Home & Kitchen,48.46,1,48.46
92,42,Toys & Games,110.14,2,220.28
93,42,Electronics,742.99,1,742.99
94,43,Beauty,75.33,2,150.66
95,44,Books,22.93,1,22.93
96,44,Grocery,34.53,1,34.53
97,45,Sports & Outdoors,108.02,1,108.02
98,45,Home & Kitchen,268.17,1,268.17
99,45,Books,38.77,2,77.54
100,45,Sports & Outdoors,215.17,1,215.17
101,45,Electronics,764.51,1,764.51
102,46,Sports & Outdoors,58.92,2,117.84
103,46,Apparel,121.43,1,121.43
104,46,Sports & Outdoors,101.53,1,101.53
105,47,Home & Kitchen,194.0,1,194.0
106,47,Home & Kitchen,295.75,1,295.75
107,48,Home & Kitchen,294.33,1,294.33
108,49,Home & Kitchen,19.83,2,39.66
109,49,Books,12.79,1,12.79
110,50,Apparel,117.5,1,117.5
111,50,Toys & Games,108.28,2,216.56
112,51,Grocery,22.65,1,22.65
113,52,Beauty,15.72,2,31.44
114,52,Beauty,11.29,2,22.58
115,53,Apparel,132.83,2,265.66
116,54,Grocery,4.61,1,4.61
117,55,Electronics,80.21,1,80.21
118,55,Apparel,53.56,1,53.56
119,56,Grocery,12.3,3,36.9
120,56,Beauty,54.53,1,54.53
121,57,Toys & Games,75.54,1,75.54
122,58,Electronics,638.75,3,1916.25
123,59,Toys & Games,94.39,1,94.39
124,60,Books,43.66,1,43.66
125,61,Books,18.18,1,18.18
126,61,Home & Kitchen,208.15,1,208.15
127,62,Electronics,275.01,1,275.01
128,62,Sports & Outdoors,27.52,1,27.52
129,63,Beauty,85.17,1,85.17
130,64,Toys & Games,9.22,2,18.44
131,64,Apparel,74.92,2,149.84
132,64,Books,40.79,3,122.37
133,65,Home & Kitchen,226.78,1,226.78
134,66,Home & Kitchen,145.14,2,290.28
135,66,Beauty,80.62,1,80.62
136,67,Electronics,416.31,1,416.31
137,68,Apparel,58.29,1,58.29
138,69,Books,27.97,1,27.97
139,70,Grocery,31.43,1,31.43
140,70,Home & Kitchen,26.28,2,52.56
141,71,Grocery,19.57,2,39.14
142,71,Beauty,88.02,2,176.04
143,72,Apparel,61.2,3,183.6
144,72,Apparel,25.11,1,25.11
145,73,Electronics,777.31,2,1554.62
146,73,Grocery,56.44,1,56.44
147,74,Electronics,431.2,1,431.2
148,75,Toys & Games,27.21,1,27.21
149,75,Grocery,47.72,1,47.72
150,75,Beauty,41.15,1,41.15
151,76,Toys & Games,25.4,2,50.8
152,76,Apparel,70.97,2,141.94
153,76,Home & Kitchen,71.16,1,71.16
154,77,Apparel,39.05,1,39.05
155,77,Apparel,87.74,2,175.48
156,78,Apparel,25.09,1,25.09
157,79,Books,19.5,1,19.5
158,79,Apparel,30.96,1,30.96
159,79,Electronics,438.05,1,438.05
160,80,Electronics,787.51,1,787.51
161,81,Home & Kitchen,267.81,1,267.81
162,81,Home & Kitchen,108.8,2,217.6
163,82,Sports & Outdoors,190.25,3,570.75
164,82,Electronics,585.28,2,1170.56
165,82,Toys & Games,106.99,2,213.98
166,82,Grocery,34.09,1,34.09
167,82,Electronics,508.39,1,508.39
168,83,Apparel,128.79,2,257.58
169,84,Electronics,732.29,1,732.29
170,85,Apparel,54.12,2,108.24
171,85,Home & Kitchen,61.6,1,61.6
172,86,Electronics,476.71,2,953.42
173,86,Electronics,633.19,1,633.19
174,87,Toys & Games,35.62,2,71.24
175,87,Books,21.5,1,21.5
176,88,Books,31.41,1,31.41
177,89,Apparel,26.92,1,26.92
178,90,Beauty,63.43,1,63.43
179,90,Sports & Outdoors,166.34,1,166.34
180,91,Sports & Outdoors,133.56,2,267.12
181,91,Grocery,47.63,1,47.63
182,92,Electronics,602.21,1,602.21
183,92,Books,15.37,1,15.37
184,92,Apparel,13.24,1,13.24
185,93,Apparel,123.68,1,123.68
186,93,Toys & Games,96.2,1,96.2
187,93,Home & Kitchen,111.14,2,222.28
188,93,Home & Kitchen,210.11,1,210.11
189,93,Grocery,56.52,1,56.52
190,94,Apparel,56.19,1,56.19
191,95,Toys & Games,22.72,2,45.44
192,95,Electronics,390.89,1,390.89
193,96,Beauty,23.66,1,23.66
194,96,Beauty,77.18,1,77.18
195,96,Beauty,66.8,3,200.4
196,97,Sports & Outdoors,206.83,2,413.66
197,97,Electronics,130.1,2,260.2
198,97,Apparel,20.08,1,20.08
199,98,Electronics,341.73,1,341.73
200,99,Home & Kitchen,67.49,1,67.49
201,100,Home & Kitchen,282.58,3,847.74
202,100,Home & Kitchen,97.09,2,194.18
203,100,Electronics,256.76,2,513.52
204,100,Home & Kitchen,72.44,1,72.44
205,101,Apparel,117.36,1,117.36
206,102,Apparel,32.21,1,32.21
207,103,Toys & Games,116.15,1,116.15
208,104,Home & Kitchen,161.0,1,161.0
209,105,Sports & Outdoors,43.64,1,43.64
210,105,Toys & Games,71.52,1,71.52
211,106,Sports & Outdoors,103.89,1,103.89
212,107,Beauty,70.38,1,70.38
213,107,Beauty,72.72,3,218.16
214,108,Electronics,439.46,2,878.92
215,108,Apparel,16.35,1,16.35
216,108,Sports & Outdoors,119.07,1,119.07
217,109,Sports & Outdoors,96.18,1,96.18
218,109,Apparel,131.35,2,262.7
219,109,Grocery,8.26,1,8.26
220,110,Apparel,30.5,1,30.5
221,110,Grocery,34.77,1,34.77
222,110,Toys & Games,52.26,2,104.52
223,111,Toys & Games,72.33,1,72.33
224,111,Home & Kitchen,293.06,1,293.06
225,111,Books,23.54,1,23.54
226,111,Home & Kitchen,215.33,2,430.66
227,112,Grocery,21.7,2,43.4
228,113,Electronics,578.97,2,1157.94
229,113,Apparel,114.22,2,228.44
230,113,Toys & Games,43.04,1,43.04
231,113,Apparel,113.99,1,113.99
232,114,Apparel,60.66,2,121.32
233,115,Grocery,20.2,2,40.4
234,115,Sports & Outdoors,63.16,2,126.32
235,116,Electronics,107.97,1,107.97
236,117,Apparel,75.24,2,150.48
237,117,Home & Kitchen,241.07,1,241.07
238,117,Home & Kitchen,158.63,3,475.89
239,118,Toys & Games,44.13,3,132.39
240,118,Electronics,816.3,1,816.3
241,119,Electronics,606.84,3,1820.52
242,120,Electronics,246.26,1,246.26
243,120,Beauty,79.6,1,79.6
244,120,Electronics,524.51,2,1049.02
245,121,Beauty,52.33,1,52.33
