order_id,customer_id,order_date,channel,region,subtotal,discount_amount,shipping_fee,net_revenue,gross_revenue,status
1,2,2024-11-23,Direct,North,2536.68,0.0,0.0,2536.68,2536.68,Completed
2,4,2025-11-02,Social Media,East,339.77,0.0,0.0,339.77,339.77,Completed
3,5,2024-01-26,Paid Ads,North,987.8,0.0,0.0,987.8,987.8,Completed
4,5,2024-09-12,Organic Search,North,21.6,1.08,8.55,29.07,29.07,Completed
5,5,2025-06-29,Paid Ads,North,202.23,0.0,0.0,202.23,202.23,Completed
6,5,2025-07-16,Social Media,North,192.23,0.0,0.0,192.23,192.23,Completed
7,5,2025-10-26,Referral,North,28.58,2.86,4.32,30.04,30.04,Completed
8,5,2025-12-17,Social Media,North,116.24,23.25,0.0,92.99,92.99,Completed
9,7,2024-08-04,Email,South,358.83,17.94,0.0,340.89,340.89,Completed
10,7,2024-10-27,Organic Search,South,647.53,97.13,0.0,550.4,550.4,Completed
11,7,2025-04-24,Paid Ads,South,566.11,0.0,0.0,566.11,566.11,Completed
12,7,2025-12-22,Organic Search,South,54.64,0.0,8.99,63.63,63.63,Completed
13,8,2024-04-18,Social Media,North,24.14,2.41,8.27,30.0,30.0,Completed
14,8,2024-06-06,Direct,North,27.82,1.39,5.52,31.95,31.95,Completed
15,8,2024-06-30,Email,North,133.48,6.67,0.0,126.81,126.81,Completed
16,8,2024-07-15,Referral,North,1249.78,62.49,0.0,1187.29,1187.29,Completed
17,9,2024-08-15,Paid Ads,West,2350.56,0.0,0.0,2350.56,2350.56,Completed
18,10,2024-10-06,Email,South,1391.85,0.0,0.0,1391.85,1391.85,Completed
19,10,2025-05-29,Organic Search,South,222.62,11.13,0.0,211.49,211.49,Completed
20,10,2025-06-13,Organic Search,South,2848.72,0.0,0.0,2848.72,2848.72,Completed
21,10,2025-11-02,Paid Ads,South,294.68,58.94,0.0,235.74,235.74,Completed
22,11,2024-07-13,Paid Ads,West,773.63,38.68,0.0,734.95,734.95,Completed
23,11,2024-12-10,Paid Ads,West,44.48,2.22,7.71,49.97,49.97,Completed
24,11,2025-03-28,Email,West,1090.25,218.05,0.0,872.2,872.2,Completed
25,11,2025-05-21,Paid Ads,West,180.06,0.0,0.0,180.06,180.06,Completed
26,11,2025-08-01,Social Media,West,1058.95,0.0,0.0,1058.95,1058.95,Completed
27,11,2025-11-02,Organic Search,West,1159.24,0.0,0.0,1159.24,1159.24,Completed
28,11,2025-12-07,Paid Ads,West,212.64,0.0,0.0,212.64,212.64,Completed
29,11,2025-12-09,Direct,West,182.38,18.24,0.0,164.14,164.14,Completed
30,12,2024-05-19,Email,North,77.1,0.0,0.0,77.1,77.1,Completed
31,12,2024-08-04,Email,North,303.0,0.0,0.0,303.0,303.0,Completed
32,12,2024-09-01,Paid Ads,North,804.05,40.2,0.0,763.85,763.85,Completed
33,12,2025-08-19,Paid Ads,North,201.14,0.0,0.0,201.14,201.14,Completed
34,13,2025-07-14,Organic Search,North,59.0,0.0,5.75,64.75,64.75,Completed
35,13,2025-11-28,Direct,North,83.39,0.0,0.0,83.39,83.39,Completed
36,13,2025-12-02,Email,North,416.28,0.0,0.0,416.28,416.28,Completed
37,13,2025-12-23,Organic Search,North,200.27,0.0,0.0,200.27,200.27,Completed
38,14,2024-01-07,Social Media,West,588.93,0.0,0.0,588.93,588.93,Completed
39,15,2024-01-07,Paid Ads,North,94.4,0.0,0.0,94.4,94.4,Completed
40,15,2024-02-11,Social Media,North,663.51,0.0,0.0,663.51,663.51,Completed
41,16,2024-11-13,Organic Search,North,48.46,0.0,4.92,53.38,53.38,Completed
42,16,2025-08-06,Social Media,North,963.27,144.49,0.0,818.78,818.78,Completed
43,16,2025-10-05,Organic Search,North,150.66,0.0,0.0,150.66,150.66,Completed
44,17,2023-12-13,Paid Ads,Central,57.46,8.62,8.66,57.5,57.5,Completed
45,17,2024-04-02,Organic Search,Central,1433.41,0.0,0.0,1433.41,1433.41,Completed
46,17,2025-01-23,Referral,Central,340.8,34.08,0.0,0.0,306.72,Returned
47,17,2025-02-20,Social Media,Central,489.75,24.49,0.0,465.26,465.26,Completed
48,17,2025-05-17,Email,Central,294.33,14.72,0.0,279.61,279.61,Completed
49,17,2025-09-07,Direct,Central,52.45,5.24,8.9,56.11,56.11,Completed
50,18,2023-03-22,Paid Ads,North,334.06,16.7,0.0,317.36,317.36,Completed
51,18,2023-07-23,Social Media,North,22.65,2.26,8.6,28.99,28.99,Completed
52,18,2023-11-24,Social Media,North,54.02,0.0,8.34,62.36,62.36,Completed
53,18,2025-01-08,Organic Search,North,265.66,0.0,0.0,265.66,265.66,Completed
54,19,2025-04-20,Email,West,4.61,0.0,6.44,11.05,11.05,Completed
55,20,2025-12-23,Organic Search,North,133.77,6.69,0.0,127.08,127.08,Completed
56,21,2025-10-04,Social Media,East,91.43,0.0,0.0,91.43,91.43,Completed
57,24,2024-02-08,Direct,Central,75.54,0.0,0.0,75.54,75.54,Completed
58,24,2024-07-25,Paid Ads,Central,1916.25,95.81,0.0,1820.44,1820.44,Completed
59,24,2025-06-13,Social Media,Central,94.39,0.0,0.0,94.39,94.39,Completed
60,25,2024-06-17,Direct,North,43.66,2.18,6.81,48.29,48.29,Completed
61,25,2025-11-30,Social Media,North,226.33,11.32,0.0,215.01,215.01,Completed
62,27,2024-10-26,Social Media,South,302.53,15.13,0.0,287.4,287.4,Completed
63,27,2024-11-16,Paid Ads,South,85.17,4.26,0.0,80.91,80.91,Completed
64,27,2024-12-29,Paid Ads,South,290.65,0.0,0.0,290.65,290.65,Completed
65,27,2025-01-21,Organic Search,South,226.78,22.68,0.0,204.1,204.1,Completed
66,27,2025-01-28,Organic Search,South,370.9,0.0,0.0,370.9,370.9,Completed
67,27,2025-01-30,Social Media,South,416.31,83.26,0.0,333.05,333.05,Completed
68,27,2025-03-15,Social Media,South,58.29,0.0,6.59,64.88,64.88,Completed
69,27,2025-03-31,Referral,South,27.97,0.0,6.05,34.02,34.02,Completed
70,27,2025-06-14,Email,South,83.99,8.4,0.0,75.59,75.59,Completed
71,27,2025-07-07,Organic Search,South,215.18,43.04,0.0,172.14,172.14,Completed
72,28,2024-04-20,Paid Ads,East,208.71,0.0,0.0,208.71,208.71,Completed
73,28,2024-06-19,Organic Search,East,1611.06,0.0,0.0,1611.06,1611.06,Completed
74,28,2025-09-30,Social Media,East,431.2,0.0,0.0,0.0,431.2,Returned
