customer_id,last_order,frequency,monetary,recency,R,F,M,rfm_score,segment
2,2024-11-23,1,2536.68,403,2,1,4,7,At Risk
4,2025-11-02,1,339.77,59,4,1,2,7,At Risk
5,2025-12-17,6,1534.36,14,5,5,4,14,Champions
7,2025-12-22,4,1521.03,9,5,4,4,13,Champions
8,2024-07-15,4,1376.05,534,1,4,4,9,Potential Loyalists
9,2024-08-15,1,2350.56,503,1,1,4,6,At Risk
10,2025-11-02,4,4687.8,59,4,4,5,13,Champions
11,2025-12-09,8,4432.15,22,5,5,5,15,Champions
12,2025-08-19,4,1345.0900000000001,134,4,4,3,11,Loyal Customers
13,2025-12-23,4,764.6899999999999,8,5,4,3,12,Loyal Customers
14,2024-01-07,1,588.93,724,1,1,2,4,Hibernating
15,2024-02-11,2,757.91,689,1,2,3,6,At Risk
16,2025-10-05,3,1022.8199999999999,87,4,3,3,10,Loyal Customers
17,2025-09-07,5,2291.89,115,4,4,4,12,Loyal Customers
18,2025-01-08,4,674.37,357,2,4,2,8,Potential Loyalists
19,2025-04-20,1,11.05,255,3,1,1,5,Hibernating
20,2025-12-23,1,127.08,8,5,1,1,7,At Risk
21,2025-10-04,1,91.43,88,4,1,1,6,At Risk
24,2025-06-13,3,1990.3700000000001,201,3,3,4,10,Loyal Customers
25,2025-11-30,2,263.3,31,5,2,1,8,Potential Loyalists
27,2025-07-07,10,1913.6399999999999,177,3,5,4,12,Loyal Customers
28,2024-06-19,2,1819.77,560,1,2,4,7,At Risk
30,2024-06-16,2,379.97999999999996,563,1,2,2,5,Hibernating
31,2025-12-29,5,3912.21,2,5,4,5,14,Champions
32,2025-03-29,4,2460.9,277,2,4,4,10,Loyal Customers
34,2025-06-12,7,1969.54,202,3,5,4,12,Loyal Customers
35,2025-11-09,1,436.33,52,5,1,2,8,Potential Loyalists
36,2025-11-21,9,3227.2,40,5,5,5,15,Champions
37,2024-09-18,2,382.04,469,1,2,2,5,Hibernating
38,2025-07-15,1,963.62,169,3,1,3,7,At Risk
39,2025-09-22,1,348.78,100,4,1,2,7,At Risk
40,2025-09-17,4,2581.9700000000003,105,4,4,4,12,Loyal Customers
41,2024-12-17,2,281.97,379,2,2,2,6,At Risk
42,2025-11-12,7,5947.65,49,5,5,5,15,Champions
43,2025-03-07,1,42.61,299,2,1,1,4,Hibernating
44,2025-04-03,3,684.97,272,2,3,2,7,At Risk
45,2025-12-24,5,3591.25,7,5,4,5,14,Champions
46,2024-10-28,1,963.75,429,1,1,3,5,Hibernating
47,2025-12-09,5,2016.9499999999998,22,5,4,4,13,Champions
49,2025-12-13,10,6340.49,18,5,5,5,15,Champions
50,2025-12-10,2,3939.8,21,5,2,5,12,Loyal Customers
51,2025-07-17,1,363.34,167,3,1,2,6,At Risk
52,2025-03-27,2,2984.6099999999997,279,2,2,5,9,Potential Loyalists
53,2024-10-18,2,804.23,439,1,2,3,6,At Risk
54,2025-08-29,2,558.53,124,4,2,2,8,Potential Loyalists
55,2025-05-13,8,2282.79,232,3,5,4,12,Loyal Customers
56,2025-06-26,1,268.69,188,3,1,1,5,Hibernating
57,2024-06-01,1,49.57,578,1,1,1,3,Hibernating
59,2025-12-20,12,2624.7400000000002,11,5,5,4,14,Champions
60,2024-03-13,1,98.66,658,1,1,1,3,Hibernating
62,2025-06-12,3,671.95,202,3,3,2,8,Potential Loyalists
64,2025-10-29,3,3431.16,63,4,3,5,12,Loyal Customers
65,2025-08-18,3,3913.0,135,4,3,5,12,Loyal Customers
66,2025-05-11,4,1432.53,234,3,4,4,11,Loyal Customers
67,2025-03-24,2,700.9,282,2,2,2,6,At Risk
68,2023-10-30,1,72.23,793,1,1,1,3,Hibernating
69,2025-02-13,1,141.11,321,2,1,1,4,Hibernating
70,2025-05-27,3,2035.9900000000002,218,3,3,4,10,Loyal Customers
72,2025-10-01,3,2456.43,91,4,3,4,11,Loyal Customers
73,2024-05-24,10,3583.77,586,1,5,5,11,Loyal Customers
74,2025-12-25,2,295.76,6,5,2,2,9,Potential Loyalists
75,2025-04-19,1,357.35,256,2,1,2,5,Hibernating
76,2025-12-09,5,3267.34,22,5,4,5,14,Champions
77,2025-12-02,1,279.05,29,5,1,2,8,Potential Loyalists
79,2025-04-25,2,518.6800000000001,250,3,2,2,7,At Risk
81,2025-11-17,1,642.75,44,5,1,2,8,Potential Loyalists
82,2025-12-01,2,198.91000000000003,30,5,2,1,8,Potential Loyalists
85,2024-03-28,1,176.45,643,1,1,1,3,Hibernating
86,2025-08-20,2,349.78,133,4,2,2,8,Potential Loyalists
87,2024-04-17,2,585.36,623,1,2,2,5,Hibernating
88,2025-08-14,3,718.31,139,3,3,2,8,Potential Loyalists
89,2024-07-04,3,167.03,545,1,3,1,5,Hibernating
90,2025-04-25,6,5303.98,250,3,5,5,13,Champions
91,2023-09-11,1,77.93,842,1,1,1,3,Hibernating
